MSA,Year,Unemployment Rate
"Bismarck, ND (MSA)",1995,3.4
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)",1995,5.7
"Buffalo-Cheektowaga-Niagara Falls, NY (MSA)",1995,5.4
"Visalia-Porterville, CA (MSA)",1995,16.7
"Salt Lake City, UT (MSA)",1995,3.0
"Davenport-Moline-Rock Island, IA-IL (MSA)",1995,4.2
"Dallas-Fort Worth-Arlington, TX (MSA)",1996,4.1
"Seattle-Tacoma-Bellevue, WA (MSA)",1996,4.6
"Austin-Round Rock, TX (MSA)",1996,3.1
"Chicago-Naperville-Elgin, IL-IN-WI (MSA)",1996,5.3
"St. Louis, MO-IL (MSA)",1996,4.5
"Tampa-St. Petersburg-Clearwater, FL (MSA)",1996,4.1
"Las Vegas-Henderson-Paradise, NV (MSA)",1996,5.0
"Detroit-Warren-Dearborn, MI (MSA)",1996,4.8
"Denver-Aurora-Lakewood, CO (MSA)",1996,3.8
"Jacksonville, FL (MSA)",1996,3.8
"Atlanta-Sandy Springs-Roswell, GA (MSA)",1996,3.9
"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)",1996,3.0
"Phoenix-Mesa-Scottsdale, AZ (MSA)",1996,3.7
"New York-Newark-Jersey City, NY-NJ-PA (MSA)",1996,6.6
"Kansas City, MO-KS (MSA)",1996,4.2
"Cincinnati, OH-KY-IN (MSA)",1996,4.4
"Miami-Fort Lauderdale-West Palm Beach, FL (MSA)",1996,6.6
"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSA)",1996,3.9
"Portland-Vancouver-Hillsboro, OR-WA (MSA)",1996,4.3
"Los Angeles-Long Beach-Anaheim, CA (MSA)",1996,7.2
"Pittsburgh, PA (MSA)",1996,5.3
"Charlotte-Concord-Gastonia, NC-SC (MSA)",1996,3.8
"Memphis, TN-MS-AR (MSA)",1996,4.5
"San Francisco-Oakland-Hayward, CA (MSA)",1996,4.6
"Orlando-Kissimmee-Sanford, FL (MSA)",1996,4.0
"Cleveland-Elyria, OH (MSA)",1996,3.8
"Indianapolis-Carmel-Anderson, IN (MSA)",1996,3.1
"Raleigh, NC (MSA)",1996,2.3
"San Jose-Sunnyvale-Santa Clara, CA (MSA)",1996,3.9
"Reno, NV (MSA)",1996,4.6
"Birmingham-Hoover, AL (MSA)",1996,3.6
"San Antonio-New Braunfels, TX (MSA)",1996,4.4
"Richmond, VA (MSA)",1996,3.8
"Albuquerque, NM (MSA)",1996,5.0
"Grand Rapids-Wyoming, MI (MSA)",1996,3.9
"Omaha-Council Bluffs, NE-IA (MSA)",1996,2.7
"Baltimore-Columbia-Towson, MD (MSA)",1996,5.4
"Rochester, NY (MSA)",1996,3.9
"San Diego-Carlsbad, CA (MSA)",1996,5.4
"Flint, MI (MSA)",1996,6.1
"Lexington-Fayette, KY (MSA)",1996,2.6
"Tucson, AZ (MSA)",1996,3.8
"Oklahoma City, OK (MSA)",1996,3.3
"Boise City, ID (MSA)",1996,4.1
"Ames, IA (MSA)",1996,2.7
"Madison, WI (MSA)",1996,2.2
"New Orleans-Metairie, LA (MSA)",1996,7.0
