"","City","State","Income","MoE","Year"
"3141","Newton city"," Massachusetts",107577,8073,2011
"3151","Quincy city"," Massachusetts",61391,5229,2011
"3161","Somerville city"," Massachusetts",61241,5502,2011
"3171","Springfield city"," Massachusetts",32124,2608,2011
"3181","Worcester city"," Massachusetts",42718,3083,2011
"3191","Ann Arbor city"," Michigan",49219,3601,2011
"3201","Dearborn city"," Michigan",44623,4488,2011
"3211","Detroit city"," Michigan",25193,806,2011
"3221","Farmington Hills city"," Michigan",71765,3892,2011
"3231","Flint city"," Michigan",23830,1865,2011
"3241","Grand Rapids city"," Michigan",36408,1917,2011
"3251","Kalamazoo city"," Michigan",30068,3201,2011
"3261","Lansing city"," Michigan",31975,2676,2011
"3271","Livonia city"," Michigan",65851,4011,2011
"3281","Rochester Hills city"," Michigan",71590,8390,2011
"3291","Southfield city"," Michigan",46842,4826,2011
"3301","Sterling Heights city"," Michigan",49865,4400,2011
"3311","Troy city"," Michigan",77734,4686,2011
"3321","Warren city"," Michigan",41658,2254,2011
"3331","Westland city"," Michigan",41790,3356,2011
"3341","Wyoming city"," Michigan",47372,5914,2011
"3351","Bloomington city"," Minnesota",59810,4819,2011
"3361","Brooklyn Park city"," Minnesota",55911,8479,2011
"3371","Duluth city"," Minnesota",40940,3180,2011
"3381","Minneapolis city"," Minnesota",46682,1890,2011
"3391","Plymouth city"," Minnesota",81438,5570,2011
"3401","Rochester city"," Minnesota",63713,3371,2011
"3411","St. Cloud city"," Minnesota",41407,7754,2011
"3421","St. Paul city"," Minnesota",42069,3167,2011
"3431","Gulfport city"," Mississippi",35471,3356,2011
"3441","Jackson city"," Mississippi",31370,2018,2011
"3451","Columbia city"," Missouri",45427,4105,2011
"3461","Independence city"," Missouri",41487,2243,2011
"3471","Kansas City city"," Missouri",43810,1904,2011
"3481","Lee's Summit city"," Missouri",72390,5529,2011
"3491","O'Fallon city"," Missouri",73669,3646,2011
"3501","St. Charles city"," Missouri",55781,5509,2011
"3511","St. Joseph city"," Missouri",39563,3625,2011
"3521","St. Louis city"," Missouri",32570,1622,2011
"3531","Springfield city"," Missouri",33391,2255,2011
"3541","Billings city"," Montana",43530,3189,2011
"3551","Missoula city"," Montana",36583,4892,2011
"3561","Lincoln city"," Nebraska",46670,1645,2011
"3571","Omaha city"," Nebraska",45536,1751,2011
"3581","Enterprise CDP"," Nevada",64608,10736,2011
"3591","Henderson city"," Nevada",60453,5198,2011
"3601","Las Vegas city"," Nevada",46995,1885,2011
"3611","North Las Vegas city"," Nevada",50006,3604,2011
"3621","Paradise CDP"," Nevada",40665,4508,2011
"3631","Reno city"," Nevada",44846,3075,2011
"3641","Sparks city"," Nevada",50568,4553,2011
"3651","Spring Valley CDP"," Nevada",47084,4983,2011
"3661","Sunrise Manor CDP"," Nevada",37947,2714,2011
"3671","Manchester city"," New Hampshire",51082,3012,2011
"3681","Nashua city"," New Hampshire",60923,7567,2011
"3691","Camden city"," New Jersey",21191,2311,2011
"3701","Clifton city"," New Jersey",59954,5862,2011
"3711","East Orange city"," New Jersey",30867,3035,2011
"3721","Elizabeth city"," New Jersey",41986,4291,2011
"3731","Jersey City city"," New Jersey",56843,3096,2011
"3741","Newark city"," New Jersey",31731,1609,2011
"3751","Passaic city"," New Jersey",29094,2212,2011
"3761","Paterson city"," New Jersey",32419,3486,2011
"3771","Toms River CDP"," New Jersey",71182,2894,2011
"3781","Trenton city"," New Jersey",36049,3072,2011
"3791","Union City city"," New Jersey",36597,4787,2011
"3801","Albuquerque city"," New Mexico",43606,2035,2011
"3811","Las Cruces city"," New Mexico",37576,4328,2011
"3821","Rio Rancho city"," New Mexico",52237,4775,2011
"3831","Santa Fe city"," New Mexico",46617,4327,2011
"3841","Albany city"," New York",37141,2737,2011
"3851","Buffalo city"," New York",29158,1547,2011
"3861","Cheektowaga CDP"," New York",47703,3048,2011
"3871","Mount Vernon city"," New York",50709,5768,2011
"3881","New Rochelle city"," New York",59120,6123,2011
"3891","New York city"," New York",49461,894,2011
"3901","Rochester city"," New York",28963,2156,2011
"3911","Schenectady city"," New York",35488,3288,2011
"3921","Syracuse city"," New York",28817,3015,2011
"3931","Yonkers city"," New York",50656,4238,2011
"3941","Asheville city"," North Carolina",39082,5147,2011
"3951","Cary town"," North Carolina",82509,11667,2011
"3961","Charlotte city"," North Carolina",50177,1825,2011
"3971","Concord city"," North Carolina",49637,4244,2011
"3981","Durham city"," North Carolina",43654,2314,2011
"3991","Fayetteville city"," North Carolina",43379,2864,2011
"4001","Gastonia city"," North Carolina",36881,4085,2011
"4011","Greensboro city"," North Carolina",39637,3020,2011
"4021","Greenville city"," North Carolina",33000,4938,2011
"4031","High Point city"," North Carolina",40693,2559,2011
"4041","Jacksonville city"," North Carolina",41987,7915,2011
"4051","Raleigh city"," North Carolina",52040,1889,2011
"4061","Wilmington city"," North Carolina",34695,4300,2011
"4071","Winston-Salem city"," North Carolina",37501,1975,2011
"4081","Fargo city"," North Dakota",44611,4737,2011
"4091","Akron city"," Ohio",31392,1397,2011
"4101","Canton city"," Ohio",26801,3775,2011
"4111","Cincinnati city"," Ohio",31301,1242,2011
"4121","Cleveland city"," Ohio",25371,1145,2011
"4131","Columbus city"," Ohio",40463,1035,2011
"4141","Dayton city"," Ohio",25434,1770,2011
"4151","Lorain city"," Ohio",33623,4087,2011
"4161","Parma city"," Ohio",46490,3206,2011
"4171","Toledo city"," Ohio",31090,1215,2011
"4181","Youngstown city"," Ohio",24006,1969,2011
"4191","Broken Arrow city"," Oklahoma",62532,3813,2011
"4201","Edmond city"," Oklahoma",66535,7146,2011
"4211","Lawton city"," Oklahoma",41783,4826,2011
"4221","Norman city"," Oklahoma",47815,3345,2011
"4231","Oklahoma City city"," Oklahoma",42995,1882,2011
"4241","Tulsa city"," Oklahoma",40123,1294,2011
"4251","Beaverton city"," Oregon",53914,5531,2011
"4261","Bend city"," Oregon",46459,7165,2011
"4271","Eugene city"," Oregon",37339,2725,2011
"4281","Gresham city"," Oregon",41056,3855,2011
"4291","Hillsboro city"," Oregon",65762,5659,2011
"4301","Medford city"," Oregon",36903,3256,2011
"4311","Portland city"," Oregon",47033,1469,2011
"4321","Salem city"," Oregon",43880,2992,2011
"4331","Allentown city"," Pennsylvania",30784,3842,2011
"4341","Bethlehem city"," Pennsylvania",45019,5124,2011
"4351","Erie city"," Pennsylvania",31901,2946,2011
"4361","Philadelphia city"," Pennsylvania",34207,1172,2011
"4371","Pittsburgh city"," Pennsylvania",35947,1565,2011
"4381","Reading city"," Pennsylvania",24682,2371,2011
"4391","Scranton city"," Pennsylvania",36219,3665,2011
"4401","Cranston city"," Rhode Island",54530,4294,2011
"4411","Pawtucket city"," Rhode Island",35311,5228,2011
"4421","Providence city"," Rhode Island",37856,3409,2011
"4431","Warwick city"," Rhode Island",60488,3857,2011
"4441","Charleston city"," South Carolina",49284,4333,2011
"4451","Columbia city"," South Carolina",39220,2907,2011
"4461","Mount Pleasant town"," South Carolina",69825,14071,2011
"4471","North Charleston city"," South Carolina",37049,4090,2011
"4481","Rock Hill city"," South Carolina",39299,4317,2011
"4491","Rapid City city"," South Dakota",44588,5408,2011
"4501","Sioux Falls city"," South Dakota",50470,4798,2011
"4511","Chattanooga city"," Tennessee",32791,1995,2011
"4521","Clarksville city"," Tennessee",42237,2912,2011
"4531","Jackson city"," Tennessee",33116,4189,2011
"4541","Knoxville city"," Tennessee",33726,1805,2011
"4551","Memphis city"," Tennessee",34960,1596,2011
"4561","Murfreesboro city"," Tennessee",44383,4743,2011
"4571","Nashville-Davidson metropolitan government (balance)"," Tennessee",42639,1512,2011
"4581","Abilene city"," Texas",38403,4397,2011
"4591","Allen city"," Texas",102904,13360,2011
"4601","Amarillo city"," Texas",44563,2854,2011
"4611","Arlington city"," Texas",50655,2742,2011
"4621","Atascocita CDP"," Texas",78234,11462,2011
"4631","Austin city"," Texas",49987,1810,2011
"4641","Baytown city"," Texas",45624,4193,2011
"4651","Beaumont city"," Texas",36746,2465,2011
"4661","Brownsville city"," Texas",31850,1972,2011
"4671","Bryan city"," Texas",31089,4413,2011
"4681","Carrollton city"," Texas",67602,5402,2011
"4691","College Station city"," Texas",27648,2847,2011
"4701","Corpus Christi city"," Texas",44893,3256,2011
"4711","Dallas city"," Texas",40585,863,2011
"4721","Denton city"," Texas",42658,5701,2011
"4731","Edinburg city"," Texas",47474,7999,2011
"4741","El Paso city"," Texas",40702,1973,2011
"4751","Flower Mound town"," Texas",123294,18589,2011
"4761","Fort Worth city"," Texas",47399,1873,2011
"4771","Frisco city"," Texas",106232,9788,2011
"4781","Garland city"," Texas",50198,2072,2011
"4791","Grand Prairie city"," Texas",49929,3533,2011
"4801","Harlingen city"," Texas",32714,6089,2011
"4811","Houston city"," Texas",42877,1127,2011
"4821","Irving city"," Texas",47266,3313,2011
"4831","Killeen city"," Texas",42104,4056,2011
"4841","Laredo city"," Texas",36665,2780,2011
"4851","League City city"," Texas",84649,11078,2011
"4861","Lewisville city"," Texas",55913,4009,2011
"4871","Longview city"," Texas",42196,4265,2011
"4881","Lubbock city"," Texas",43364,2589,2011
"4891","McAllen city"," Texas",35348,4819,2011
"4901","McKinney city"," Texas",81256,10415,2011
"4911","Mesquite city"," Texas",46983,5461,2011
"4921","Midland city"," Texas",55497,4716,2011
"4931","Mission city"," Texas",41624,8801,2011
"4941","Missouri City city"," Texas",80688,13917,2011
"4951","North Richland Hills city"," Texas",62152,7825,2011
"4961","Odessa city"," Texas",50687,4471,2011
"4971","Pasadena city"," Texas",46623,4415,2011
"4981","Pearland city"," Texas",83665,8238,2011
"4991","Pharr city"," Texas",30069,6687,2011
"5001","Plano city"," Texas",80184,4014,2011
"5011","Richardson city"," Texas",67064,4524,2011
"5021","Round Rock city"," Texas",70530,8703,2011
"5031","San Angelo city"," Texas",39413,6439,2011
"5041","San Antonio city"," Texas",42613,1304,2011
"5051","Sugar Land city"," Texas",97068,10824,2011
"5061","Temple city"," Texas",43963,7392,2011
"5071","The Woodlands CDP"," Texas",105398,10794,2011
"5081","Tyler city"," Texas",41448,2768,2011
"5091","Waco city"," Texas",32246,2510,2011
"5101","Wichita Falls city"," Texas",42703,2455,2011
"5111","Layton city"," Utah",73550,5507,2011
"5121","Ogden city"," Utah",41182,3869,2011
"5131","Orem city"," Utah",53231,6392,2011
"5141","Provo city"," Utah",36831,2849,2011
"5151","St. George city"," Utah",44041,2866,2011
"5161","Salt Lake City city"," Utah",41588,2426,2011
"5171","Sandy city"," Utah",70521,4426,2011
"5181","West Jordan city"," Utah",64899,5188,2011
"5191","West Valley City city"," Utah",47679,2729,2011
"5201","Alexandria city"," Virginia",82748,7051,2011
"5211","Arlington CDP"," Virginia",100735,6069,2011
"5221","Centreville CDP"," Virginia",93350,10908,2011
"5231","Chesapeake city"," Virginia",66563,3592,2011
"5241","Dale City CDP"," Virginia",77443,7200,2011
"5251","Hampton city"," Virginia",49848,4124,2011
"5261","Lynchburg city"," Virginia",36627,3795,2011
"5271","Newport News city"," Virginia",48976,2451,2011
"5281","Norfolk city"," Virginia",43108,2217,2011
"5291","Portsmouth city"," Virginia",42647,3918,2011
"5301","Richmond city"," Virginia",38926,3131,2011
"5311","Roanoke city"," Virginia",39040,2935,2011
"5321","Suffolk city"," Virginia",64334,4818,2011
"5331","Virginia Beach city"," Virginia",64614,2022,2011
"5341","Auburn city"," Washington",51666,5069,2011
"5351","Bellevue city"," Washington",83518,5193,2011
"5361","Bellingham city"," Washington",42892,6870,2011
"5371","Everett city"," Washington",46257,3105,2011
"5381","Federal Way city"," Washington",51687,4500,2011
"5391","Kennewick city"," Washington",51730,5962,2011
"5401","Kent city"," Washington",56857,6844,2011
"5411","Renton city"," Washington",62800,5965,2011
"5421","Seattle city"," Washington",61037,1613,2011
"5431","Spokane city"," Washington",39999,3462,2011
"5441","Spokane Valley city"," Washington",46209,4566,2011
"5451","Tacoma city"," Washington",48402,3346,2011
"5461","Vancouver city"," Washington",48909,2852,2011
"5471","Yakima city"," Washington",36873,4807,2011
"5481","Appleton city"," Wisconsin",49274,4633,2011
"5491","Eau Claire city"," Wisconsin",42170,3836,2011
"5501","Green Bay city"," Wisconsin",41784,2341,2011
"5511","Kenosha city"," Wisconsin",46618,6087,2011
"5521","Madison city"," Wisconsin",53363,2970,2011
"5531","Milwaukee city"," Wisconsin",33122,1099,2011
"5541","Oshkosh city"," Wisconsin",39387,4278,2011
"5551","Racine city"," Wisconsin",38371,4186,2011
"5561","Waukesha city"," Wisconsin",55827,3235,2011
"557","Bayamón zona urbana"," Puerto Rico",23405,1828,2011
"558","Caguas zona urbana"," Puerto Rico",18342,2256,2011
"559","Carolina zona urbana"," Puerto Rico",25617,1669,2011
"560","Guaynabo zona urbana"," Puerto Rico",42620,4292,2011
"561","Mayagüez zona urbana"," Puerto Rico",13498,1189,2011
"562","Ponce zona urbana"," Puerto Rico",16329,1479,2011
"563","San Juan zona urbana"," Puerto Rico",21109,1357,2011
"2102","Birmingham city"," Alabama",30701,NA,2012
"3102","Dothan city"," Alabama",42665,NA,2012
"4102","Hoover city"," Alabama",70583,NA,2012
"5102","Huntsville city"," Alabama",47818,NA,2012
"650","Mobile city"," Alabama",35238,NA,2012
"712","Montgomery city"," Alabama",40536,NA,2012
"812","Tuscaloosa city"," Alabama",37069,NA,2012
"912","Anchorage municipality"," Alaska",72575,NA,2012
"1012","Avondale city"," Arizona",51237,NA,2012
"1112","Casas Adobes CDP"," Arizona",49447,NA,2012
"1212","Chandler city"," Arizona",70122,NA,2012
"1312","Flagstaff city"," Arizona",48522,NA,2012
"1412","Gilbert town"," Arizona",79916,NA,2012
"1512","Glendale city"," Arizona",45765,NA,2012
"1612","Goodyear city"," Arizona",73022,NA,2012
"1712","Mesa city"," Arizona",47256,NA,2012
"1812","Peoria city"," Arizona",61880,NA,2012
"1912","Phoenix city"," Arizona",44153,NA,2012
"2012","San Tan Valley CDP"," Arizona",57331,NA,2012
"2112","Scottsdale city"," Arizona",72102,NA,2012
"2212","Surprise city"," Arizona",59553,NA,2012
"2312","Tempe city"," Arizona",45009,NA,2012
"2412","Tucson city"," Arizona",35354,NA,2012
"2512","Yuma city"," Arizona",41624,NA,2012
"2612","Fayetteville city"," Arkansas",36689,NA,2012
"2712","Fort Smith city"," Arkansas",35989,NA,2012
"2812","Jonesboro city"," Arkansas",43353,NA,2012
"2912","Little Rock city"," Arkansas",45951,NA,2012
"3012","Springdale city"," Arkansas",38872,NA,2012
"3112","Alameda city"," California",74860,NA,2012
"3212","Alhambra city"," California",57464,NA,2012
"3312","Anaheim city"," California",55464,NA,2012
"3412","Antioch city"," California",59971,NA,2012
"3512","Apple Valley town"," California",40313,NA,2012
"3612","Arden-Arcade CDP"," California",41759,NA,2012
"3712","Bakersfield city"," California",53693,NA,2012
"3812","Baldwin Park city"," California",50972,NA,2012
"3912","Bellflower city"," California",47785,NA,2012
"4012","Berkeley city"," California",65887,NA,2012
"4112","Buena Park city"," California",64889,NA,2012
"4212","Burbank city"," California",66844,NA,2012
"4312","Camarillo city"," California",86735,NA,2012
"4412","Carlsbad city"," California",78238,NA,2012
"4512","Carson city"," California",68752,NA,2012
"4612","Chico city"," California",39087,NA,2012
"4712","Chino city"," California",66035,NA,2012
"4812","Chino Hills city"," California",82241,NA,2012
"4912","Chula Vista city"," California",62421,NA,2012
"5012","Citrus Heights city"," California",49143,NA,2012
"5112","Clovis city"," California",59627,NA,2012
"5212","Compton city"," California",41060,NA,2012
"5312","Concord city"," California",64164,NA,2012
"5412","Corona city"," California",75390,NA,2012
"5512","Costa Mesa city"," California",62656,NA,2012
"5611","Daly City city"," California",64206,NA,2012
"5711","Davis city"," California",52832,NA,2012
"5811","Downey city"," California",60676,NA,2012
"5911","East Los Angeles CDP"," California",35171,NA,2012
"6011","El Cajon city"," California",40473,NA,2012
"6111","Elk Grove city"," California",76835,NA,2012
"6211","El Monte city"," California",40902,NA,2012
"6311","Escondido city"," California",45466,NA,2012
"6410","Fairfield city"," California",63020,NA,2012
"652","Florence-Graham CDP"," California",32788,NA,2012
"662","Folsom city"," California",98359,NA,2012
"672","Fontana city"," California",61085,NA,2012
"682","Fremont city"," California",100574,NA,2012
"692","Fresno city"," California",38386,NA,2012
"702","Fullerton city"," California",61943,NA,2012
"713","Garden Grove city"," California",55481,NA,2012
"722","Glendale city"," California",51897,NA,2012
"732","Hawthorne city"," California",38339,NA,2012
"742","Hayward city"," California",60586,NA,2012
"752","Hemet city"," California",30141,NA,2012
"762","Hesperia city"," California",38058,NA,2012
"772","Huntington Beach city"," California",80020,NA,2012
"782","Indio city"," California",46822,NA,2012
"792","Inglewood city"," California",41649,NA,2012
"802","Irvine city"," California",96278,NA,2012
"813","Jurupa Valley city"," California",50584,NA,2012
"822","Lake Forest city"," California",82689,NA,2012
"832","Lakewood city"," California",74748,NA,2012
"842","Lancaster city"," California",46380,NA,2012
"852","Livermore city"," California",100222,NA,2012
"862","Long Beach city"," California",47837,NA,2012
"872","Los Angeles city"," California",46803,NA,2012
"882","Lynwood city"," California",41864,NA,2012
"892","Manteca city"," California",55563,NA,2012
"902","Menifee city"," California",50463,NA,2012
"913","Merced city"," California",36027,NA,2012
"922","Milpitas city"," California",101644,NA,2012
"932","Mission Viejo city"," California",95520,NA,2012
"942","Modesto city"," California",45267,NA,2012
"952","Moreno Valley city"," California",50880,NA,2012
"962","Mountain View city"," California",91422,NA,2012
"972","Murrieta city"," California",66306,NA,2012
"982","Napa city"," California",65217,NA,2012
"992","Newport Beach city"," California",112259,NA,2012
"1002","Norwalk city"," California",59476,NA,2012
"1013","Oakland city"," California",48196,NA,2012
"1022","Oceanside city"," California",59640,NA,2012
"1032","Ontario city"," California",52014,NA,2012
"1042","Orange city"," California",74117,NA,2012
"1052","Oxnard city"," California",57351,NA,2012
"1062","Palmdale city"," California",48169,NA,2012
"1072","Palo Alto city"," California",117251,NA,2012
"1082","Pasadena city"," California",65423,NA,2012
"1092","Perris city"," California",44200,NA,2012
"1102","Pittsburg city"," California",51950,NA,2012
"1113","Pleasanton city"," California",112665,NA,2012
"1122","Pomona city"," California",46300,NA,2012
"1132","Rancho Cordova city"," California",45400,NA,2012
"1142","Rancho Cucamonga city"," California",74118,NA,2012
"1152","Redding city"," California",41866,NA,2012
"1162","Redlands city"," California",61681,NA,2012
"1172","Redondo Beach city"," California",104516,NA,2012
"1182","Redwood City city"," California",76206,NA,2012
"1192","Rialto city"," California",48197,NA,2012
"1202","Richmond city"," California",51765,NA,2012
"1213","Riverside city"," California",52697,NA,2012
"1222","Roseville city"," California",70816,NA,2012
"1232","Sacramento city"," California",48546,NA,2012
"1242","Salinas city"," California",50598,NA,2012
"1252","San Bernardino city"," California",37244,NA,2012
"1262","San Buenaventura (Ventura) city"," California",62077,NA,2012
"1272","San Diego city"," California",62395,NA,2012
"1282","San Francisco city"," California",73012,NA,2012
"1292","San Jose city"," California",80090,NA,2012
"1302","San Leandro city"," California",62179,NA,2012
"1313","San Marcos city"," California",50260,NA,2012
"1322","San Mateo city"," California",77820,NA,2012
"1332","San Ramon city"," California",122357,NA,2012
"1342","Santa Ana city"," California",53593,NA,2012
"1352","Santa Barbara city"," California",64766,NA,2012
"1362","Santa Clara city"," California",92390,NA,2012
"1372","Santa Clarita city"," California",78894,NA,2012
"1382","Santa Maria city"," California",44349,NA,2012
"1392","Santa Monica city"," California",71225,NA,2012
"1402","Santa Rosa city"," California",57653,NA,2012
"1413","Simi Valley city"," California",82223,NA,2012
"1422","South Gate city"," California",41942,NA,2012
"1432","South San Francisco city"," California",72206,NA,2012
"1442","Stockton city"," California",43321,NA,2012
"1452","Sunnyvale city"," California",101611,NA,2012
"1462","Temecula city"," California",81868,NA,2012
"1472","Thousand Oaks city"," California",87402,NA,2012
"1482","Torrance city"," California",71790,NA,2012
"1492","Tracy city"," California",69514,NA,2012
"1502","Turlock city"," California",48617,NA,2012
"1513","Tustin city"," California",64243,NA,2012
"1522","Union City city"," California",85040,NA,2012
"1532","Upland city"," California",56480,NA,2012
"1542","Vacaville city"," California",70848,NA,2012
"1552","Vallejo city"," California",52388,NA,2012
"1562","Victorville city"," California",44426,NA,2012
"1572","Visalia city"," California",50097,NA,2012
"1582","Vista city"," California",40959,NA,2012
"1592","Walnut Creek city"," California",77926,NA,2012
"1602","West Covina city"," California",63203,NA,2012
"1613","Westminster city"," California",51270,NA,2012
"1622","Whittier city"," California",60408,NA,2012
"1632","Yorba Linda city"," California",115194,NA,2012
"1642","Yuba City city"," California",45023,NA,2012
"1652","Arvada city"," Colorado",61921,NA,2012
"1662","Aurora city"," Colorado",50512,NA,2012
"1672","Boulder city"," Colorado",56274,NA,2012
"1682","Centennial city"," Colorado",88598,NA,2012
"1692","Colorado Springs city"," Colorado",52622,NA,2012
"1702","Denver city"," Colorado",50488,NA,2012
"1713","Fort Collins city"," Colorado",51343,NA,2012
"1722","Greeley city"," Colorado",44780,NA,2012
"1732","Highlands Ranch CDP"," Colorado",98580,NA,2012
"1742","Lakewood city"," Colorado",53967,NA,2012
"1752","Longmont city"," Colorado",58789,NA,2012
"1762","Loveland city"," Colorado",56798,NA,2012
"1772","Pueblo city"," Colorado",34362,NA,2012
"1782","Thornton city"," Colorado",60972,NA,2012
"1792","Westminster city"," Colorado",65244,NA,2012
"1802","Bridgeport city"," Connecticut",37571,NA,2012
"1813","Danbury city"," Connecticut",61708,NA,2012
"1822","Hartford city"," Connecticut",27753,NA,2012
"1832","New Britain city"," Connecticut",37034,NA,2012
"1842","New Haven city"," Connecticut",36530,NA,2012
"1852","Norwalk city"," Connecticut",70580,NA,2012
"1862","Stamford city"," Connecticut",75771,NA,2012
"1872","Waterbury city"," Connecticut",39355,NA,2012
"1882","Wilmington city"," Delaware",38468,NA,2012
"1892","Washington city"," District of Columbia",66583,NA,2012
"1902","Alafaya CDP"," Florida",60305,NA,2012
"1913","Boca Raton city"," Florida",67612,NA,2012
"1922","Boynton Beach city"," Florida",44104,NA,2012
"1932","Brandon CDP"," Florida",53235,NA,2012
"1942","Cape Coral city"," Florida",48619,NA,2012
"1952","Clearwater city"," Florida",43288,NA,2012
"1962","Coral Springs city"," Florida",68224,NA,2012
"1972","Davie town"," Florida",57092,NA,2012
"1982","Deerfield Beach city"," Florida",37070,NA,2012
"1992","Deltona city"," Florida",42192,NA,2012
"2002","Fort Lauderdale city"," Florida",50997,NA,2012
"2013","Fort Myers city"," Florida",35348,NA,2012
"2022","Gainesville city"," Florida",28914,NA,2012
"2032","Hialeah city"," Florida",28878,NA,2012
"2042","Hollywood city"," Florida",44105,NA,2012
"2052","Jacksonville city"," Florida",42800,NA,2012
"2062","Kendall CDP"," Florida",57527,NA,2012
"2072","Lakeland city"," Florida",39997,NA,2012
"2082","Largo city"," Florida",36920,NA,2012
"2092","Lauderhill city"," Florida",34161,NA,2012
"2103","Lehigh Acres CDP"," Florida",36295,NA,2012
"2113","Melbourne city"," Florida",36171,NA,2012
"2122","Miami city"," Florida",28301,NA,2012
"2132","Miami Beach city"," Florida",41403,NA,2012
"2142","Miami Gardens city"," Florida",36959,NA,2012
"2152","Miramar city"," Florida",64907,NA,2012
"2162","Orlando city"," Florida",41695,NA,2012
"2172","Palm Bay city"," Florida",36802,NA,2012
"2182","Palm Coast city"," Florida",43280,NA,2012
"2192","Pembroke Pines city"," Florida",58149,NA,2012
"2202","Pine Hills CDP"," Florida",35714,NA,2012
"2213","Plantation city"," Florida",66237,NA,2012
"2222","Pompano Beach city"," Florida",41047,NA,2012
"2232","Port St. Lucie city"," Florida",47852,NA,2012
"2242","Riverview CDP"," Florida",61504,NA,2012
"2252","St. Petersburg city"," Florida",45119,NA,2012
"2262","Spring Hill CDP"," Florida",36625,NA,2012
"2272","Sunrise city"," Florida",50097,NA,2012
"2282","Tallahassee city"," Florida",39913,NA,2012
"2292","Tampa city"," Florida",40894,NA,2012
"2302","Town 'n' Country CDP"," Florida",45464,NA,2012
"2313","Weston city"," Florida",83696,NA,2012
"2322","West Palm Beach city"," Florida",40229,NA,2012
"2332","Albany city"," Georgia",28461,NA,2012
"2342","Athens-Clarke County unified government (balance)"," Georgia",32503,NA,2012
"2352","Atlanta city"," Georgia",46466,NA,2012
"2362","Augusta-Richmond County consolidated government (balance)"," Georgia",36919,NA,2012
"2372","Columbus city"," Georgia",45178,NA,2012
"2382","Johns Creek city"," Georgia",100478,NA,2012
"2392","Macon city"," Georgia",23127,NA,2012
"2402","Roswell city"," Georgia",81692,NA,2012
"2413","Sandy Springs city"," Georgia",61118,NA,2012
"2422","Savannah city"," Georgia",33167,NA,2012
"2432","Warner Robins city"," Georgia",42265,NA,2012
"2442","Urban Honolulu CDP"," Hawaii",59464,NA,2012
"2452","Boise City city"," Idaho",47446,NA,2012
"2462","Meridian city"," Idaho",64596,NA,2012
"2472","Nampa city"," Idaho",36086,NA,2012
"2482","Arlington Heights village"," Illinois",71825,NA,2012
"2492","Aurora city"," Illinois",58675,NA,2012
"2502","Bloomington city"," Illinois",61171,NA,2012
"2513","Bolingbrook village"," Illinois",77632,NA,2012
"2522","Champaign city"," Illinois",45864,NA,2012
"2532","Chicago city"," Illinois",45214,NA,2012
"2542","Cicero town"," Illinois",39680,NA,2012
"2552","Decatur city"," Illinois",37397,NA,2012
"2562","Elgin city"," Illinois",57305,NA,2012
"2572","Evanston city"," Illinois",68169,NA,2012
"2582","Joliet city"," Illinois",61269,NA,2012
"2592","Naperville city"," Illinois",109533,NA,2012
"2602","Palatine village"," Illinois",70754,NA,2012
"2613","Peoria city"," Illinois",40929,NA,2012
"2622","Rockford city"," Illinois",37363,NA,2012
"2632","Schaumburg village"," Illinois",71367,NA,2012
"2642","Skokie village"," Illinois",57422,NA,2012
"2652","Springfield city"," Illinois",48683,NA,2012
"2662","Waukegan city"," Illinois",40149,NA,2012
"2672","Bloomington city"," Indiana",27643,NA,2012
"2682","Carmel city"," Indiana",104433,NA,2012
"2692","Evansville city"," Indiana",34104,NA,2012
"2702","Fishers town"," Indiana",95392,NA,2012
"2713","Fort Wayne city"," Indiana",42540,NA,2012
"2722","Gary city"," Indiana",24914,NA,2012
"2732","Hammond city"," Indiana",36966,NA,2012
"2742","Indianapolis city (balance)"," Indiana",40854,NA,2012
"2752","Lafayette city"," Indiana",40393,NA,2012
"2762","Muncie city"," Indiana",30213,NA,2012
"2772","South Bend city"," Indiana",32606,NA,2012
"2782","Cedar Rapids city"," Iowa",51429,NA,2012
"2792","Davenport city"," Iowa",45553,NA,2012
"2802","Des Moines city"," Iowa",45001,NA,2012
"2813","Iowa City city"," Iowa",40926,NA,2012
"2822","Sioux City city"," Iowa",39575,NA,2012
"2832","Waterloo city"," Iowa",45799,NA,2012
"2842","Kansas City city"," Kansas",35876,NA,2012
"2852","Lawrence city"," Kansas",47755,NA,2012
"2862","Olathe city"," Kansas",76836,NA,2012
"2872","Overland Park city"," Kansas",70289,NA,2012
"2882","Topeka city"," Kansas",40469,NA,2012
"2892","Wichita city"," Kansas",43776,NA,2012
"2902","Lexington-Fayette urban county"," Kentucky",46248,NA,2012
"2913","Louisville/Jefferson County metro government (balance)"," Kentucky",43035,NA,2012
"2922","Baton Rouge city"," Louisiana",38806,NA,2012
"2932","Kenner city"," Louisiana",45638,NA,2012
"2942","Lafayette city"," Louisiana",40396,NA,2012
"2952","Lake Charles city"," Louisiana",32575,NA,2012
"2962","Metairie CDP"," Louisiana",49747,NA,2012
"2972","New Orleans city"," Louisiana",34361,NA,2012
"2982","Shreveport city"," Louisiana",40065,NA,2012
"2992","Portland city"," Maine",42155,NA,2012
"3002","Baltimore city"," Maryland",39241,NA,2012
"3013","Columbia CDP"," Maryland",101267,NA,2012
"3022","Ellicott City CDP"," Maryland",116246,NA,2012
"3032","Frederick city"," Maryland",62378,NA,2012
